0,
1,ء
2,آ
3,آ
4,أ
5,أ
6,ؤ
7,ؤ
8,إ
9,إ
10,ئ
11,ئ
12,ئ
13,ئ
14,ا
15,ا
16,ب
17,ب
18,ب
19,ب
20,ة
21,ة
22,ت
23,ت
24,ت
25,ت
26,ث
27,ث
28,ث
29,ث
30,ج
31,ج
32,ج
33,ج
34,ح
35,ح
36,ح
37,ح
38,خ
39,خ
40,خ
41,خ
42,د
43,د
44,د
45,د
46,ذ
47,ذ
48,ر
49,ر
50,ز
51,ز
52,س
53,س
54,س
55,س
56,ش
57,ش
58,ش
59,ش
60,ص
61,ص
62,ص
63,ص
64,ض
65,ض
66,ض
67,ض
68,ط
69,ط
70,ط
71,ط
72,ظ
73,ظ
74,ظ
75,ظ
76,ع
77,ع
78,ع
79,ع
80,غ
81,غ
82,غ
83,
84,ف
85,ف
86,ف
87,ف
88,ق
89,ق
90,ق
91,ق
92,ك
93,ك
94,ك
95,ك
96,ل
97,ل
98,ل
99,ل
100,م
101,م
102,م
103,م
104,ن
105,ن
106,ن
107,ن
108,ه
109,ه
110,ه
111,ه
112,و
113,و
114,ى
115,ى
116,ى
117,ى
118,ي
119,ي
120,ي
121,ي
122,لا
123,لا
124,لأ
125,لأ
126,لآ
127,لآ
128,لإ
129,لإ
130,0
131,1
132,2
133,3
134,4
135,5
136,6
137,7
138,8
139,9
